County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
West Springfield;8;8;5012;6645;0;
West Stockbridge;1;1;196;691;0;
West Tisbury;1;1;331;1389;0;
Westborough;5;5;3495;4893;0;
Westfield;12;12;7376;8848;0;
Westford;6;6;5400;5966;0;
Westhampton;1;1;409;573;0;
Westminster;2;2;1934;2009;0;
Weston;4;4;2567;3615;0;
Westport;5;5;2867;5139;0;
Westwood;4;4;3845;4366;0;
Weymouth;18;18;10888;15330;0;
Whately;1;1;280;635;0;
Whitman;4;4;3194;3595;0;
Wilbraham;4;4;3975;4075;0;
Williamsburg;1;1;388;1139;0;
Williamstown;3;3;758;2941;0;
Wilmington;6;6;5304;5835;0;
Winchendon;3;3;1815;2129;0;
Winchester;8;8;4811;7091;0;
Windsor;1;1;165;358;0;
Winthrop;6;6;3196;5540;0;
Woburn;14;14;7738;10313;0;
Worcester;50;50;17648;38264;0;
Worthington;1;1;268;500;0;
Wrentham;3;3;2854;2739;0;
Yarmouth;7;7;6510;7620;0;
