"Obama" "Clinton"
"Stonewall, TX" 108 303
"Sutton, TX" 132 298
"Swisher, TX" 336 851
"Tarrant, TX" 108062 90383
"Taylor, TX" 4298 6346
"Terrell, TX" 69 125
"Terry, TX" 756 1115
"Throckmorton, TX" 109 346
"Titus, TX" 1565 2712
"Tom Green, TX" 4226 5850
"Travis, TX" 116137 68240
"Trinity, TX" 1275 2528
"Tyler, TX" 1047 2772
"Upshur, TX" 1897 3527
"Upton, TX" 310 377
"Uvalde, TX" 1590 2771
"Val Verde, TX" 1855 3502
"Van Zandt, TX" 1580 4407
"Victoria, TX" 3494 5356
"Walker, TX" 2861 2772
"Waller, TX" 3272 1567
"Ward, TX" 647 1189
"Washington, TX" 1822 1285
"Webb, TX" 8615 32383
"Wharton, TX" 2197 2692
"Wheeler, TX" 192 460
"Wichita, TX" 4934 7468
"Wilbarger, TX" 559 1084
"Willacy, TX" 1562 3009
"Williamson, TX" 27906 21289
"Wilson, TX" 2170 3486
"Winkler, TX" 98 262
"Wise, TX" 1204 3184
"Wood, TX" 1412 2559
"Yoakum, TX" 179 367
"Young, TX" 504 1161
"Zapata, TX" 636 2444
"Zavala, TX" 968 2626
"Beaver, UT" 81 135
"Box Elder, UT" 541 388
"Cache, UT" 2181 956
"Carbon, UT" 708 1040
"Daggett, UT" 22 28
"Davis, UT" 5634 3500
"Duchesne, UT" 151 137
"Emery, UT" 188 170
"Garfield, UT" 92 66
"Grand, UT" 708 321
"Iron, UT" 700 534
"Juab, UT" 137 115
"Kane, UT" 234 143
"Millard, UT" 195 196
"Morgan, UT" 131 92
"Piute, UT" 25 27
"Rich, UT" 43 14
"Salt Lake, UT" 40919 28652
"San Juan, UT" 470 580
"Sanpete, UT" 302 254
"Sevier, UT" 194 182
"Summit, UT" 2601 1156
"Tooele, UT" 1220 1301
"Uintah, UT" 228 195
"Utah, UT" 5597 2546
"Wasatch, UT" 596 425
"Washington, UT" 2208 2079
"Wayne, UT" 82 57
"Weber, UT" 4185 3430
"Addison, VT" 152 142
"Albany, VT" 123 71
"Alburg, VT" 235 214
"Andover, VT" 83 35
"Arlington, VT" 361 268
"Athens, VT" 36 24
"Bakersfield, VT" 176 99
"Baltimore, VT" 17 15
"Barnard, VT" 176 98
"Barnet, VT" 225 123
"Barre, VT" 940 634
"Barre Town, VT" 908 768
"Barton, VT" 218 204
"Belvidere, VT" 22 21
"Bennington, VT" 1609 1715
"Benson, VT" 134 117
"Berkshire, VT" 121 132
"Berlin, VT" 389 230
"Bethel, VT" 268 184
"Bloomfield, VT" 21 26
"Bolton, VT" 193 134
"Bradford, VT" 321 184
"Braintree, VT" 154 89
"Brandon, VT" 571 449
"Brattleboro, VT" 2254 1309
"Bridgewater, VT" 141 73
"Bridport, VT" 180 99
"Brighton, VT" 188 166
"Bristol, VT" 587 374
"Brookfield, VT" 0 0
"Brookline, VT" 82 42
"Brownington, VT" 86 48
"Brunswick, VT" 18 10
"Burke, VT" 236 117
"Burlington, VT" 7101 3547
"Cabot, VT" 265 136
"Calais, VT" 430 136
"Cambridge, VT" 497 328
"Canaan, VT" 107 111
"Castleton, VT" 464 350
"Cavendish, VT" 189 133
"Charleston, VT" 100 54
"Charlotte, VT" 1006 390
"Chelsea, VT" 166 80
"Chester, VT" 467 342
"Chittenden, VT" 222 137
"Clarendon, VT" 252 243
"Colchester, VT" 2155 1560
"Concord, VT" 125 99
"Corinth, VT" 196 112
"Cornwall, VT" 318 128
"Coventry, VT" 105 85
"Craftsbury, VT" 233 93
"Danby, VT" 151 143
"Danville, VT" 341 164
"Derby, VT" 484 431
"Dorset, VT" 407 204
"Dover, VT" 192 127
"Dummerston, VT" 451 183
"Duxbury, VT" 250 120
"East Haven, VT" 51 30
"East Montpelier, VT" 622 276
"Eden, VT" 107 74
"Elmore, VT" 159 85
"Enosburgh, VT" 239 191
"Essex, VT" 2711 1780
"Fairfax, VT" 519 397
"Fairfield, VT" 178 232
"Fair Haven, VT" 290 255
"Fairlee, VT" 157 91
"Fayston, VT" 229 109
"Ferrisburg, VT" 477 295
"Fletcher, VT" 181 88
"Franklin, VT" 109 89
"Georgia, VT" 504 455
"Glover, VT" 150 79
"Goshen, VT" 41 35
"Grafton, VT" 105 74
"Granby, VT" 12 5
"Grand Isle, VT" 333 239
"Granville, VT" 58 36
"Greensboro, VT" 141 68
"Groton, VT" 109 55
"Guildhall, VT" 30 21
"Guilford, VT" 381 185
"Halifax, VT" 129 76
"Hancock, VT" 43 42
"Hardwick, VT" 405 275
"Hartford, VT" 1381 1003
"Hartland, VT" 631 380
"Highgate, VT" 198 303
"Hinesburg, VT" 871 497
"Holland, VT" 66 60
"Hubbardton, VT" 104 88
"Huntington, VT" 424 199
"Hyde Park, VT" 403 228
"Ira, VT" 58 40
"Irasburg, VT" 126 101
"Isle La Motte, VT" 95 118
"Jamaica, VT" 132 57
"Jay, VT" 42 44
"Jericho, VT" 1012 584
"Johnson, VT" 361 165
"Killington, VT" 149 117
"Kirby, VT" 59 26
"Landgrove, VT" 48 15
"Leicester, VT" 117 116
"Lemington, VT" 10 15
"Lincoln, VT" 375 141
"Londonderry, VT" 225 118
"Lowell, VT" 74 75
"Ludlow, VT" 300 231
"Lunenburg, VT" 124 121
"Lyndon, VT" 482 308
"Maidstone, VT" 28 11
"Manchester, VT" 668 421
"Marlboro, VT" 248 88
"Marshfield, VT" 279 134
"Mendon, VT" 189 120
"Middlebury, VT" 1270 660
"Middlesex, VT" 395 172
"Middletown Springs, VT" 151 126
"Milton, VT" 998 941
"Monkton, VT" 379 198
"Montgomery, VT" 160 89
"Montpelier, VT" 2085 852
"Moretown, VT" 394 156
"Morgan, VT" 68 75
"Morristown, VT" 829 476
"Mount Holly, VT" 194 137
"Mount Tabor, VT" 28 14
"Newark, VT" 76 45
"Newbury, VT" 264 134
"Newfane, VT" 355 197
"New Haven, VT" 327 186
"Newport, VT" 401 379
"Newport Town, VT" 143 116
"Northfield, VT" 647 489
"North Hero, VT" 145 113
"Norton, VT" 13 26
"Norwich, VT" 1158 463
"Orange, VT" 88 72
"Orwell, VT" 160 115
"Panton, VT" 86 59
"Pawlet, VT" 229 127
"Peacham, VT" 179 80
"Peru, VT" 86 29
"Pittsfield, VT" 89 45
"Pittsford, VT" 373 350
"Plainfield, VT" 255 126
"Plymouth, VT" 132 68
"Pomfret, VT" 244 85
"Poultney, VT" 363 282
"Pownal, VT" 381 455
"Proctor, VT" 227 204
"Putney, VT" 531 271
"Randolph, VT" 725 391
"Reading, VT" 108 76
"Readsboro, VT" 74 128
"Richford, VT" 190 236
"Richmond, VT" 883 441
"Ripton, VT" 175 68
"Rochester, VT" 246 112
"Rockingham, VT" 647 617
"Roxbury, VT" 101 59
"Royalton, VT" 374 254
"Rupert, VT" 128 85
"Rutland, VT" 1863 1707
"Rutland Town, VT" 602 512
"Ryegate, VT" 134 87
"Salisbury, VT" 177 130
"Sandgate, VT" 59 42
"Searsburg, VT" 10 22
"Shaftsbury, VT" 516 438
"Sharon, VT" 237 143
"Sheffield, VT" 107 33
"Shelburne, VT" 1718 831
"Sheldon, VT" 150 146
"Shoreham, VT" 199 117
"Shrewsbury, VT" 217 126
"South Burlington, VT" 2808 1960
"South Hero, VT" 385 242
"Springfield, VT" 1107 987
"St. Albans, VT" 723 655
"St. Albans Town, VT" 649 697
"St. George, VT" 98 56
"St. Johnsbury, VT" 811 493
"Stamford, VT" 96 115
"Stannard, VT" 33 22
"Starksboro, VT" 304 161
"Stockbridge, VT" 108 71
"Stowe, VT" 888 428
"Strafford, VT" 322 76
"Stratton, VT" 24 15
"Sudbury, VT" 93 67
"Sunderland, VT" 163 96
"Sutton, VT" 102 55
"Swanton, VT" 554 638
"Thetford, VT" 695 287
"Tinmouth, VT" 132 58
"Topsham, VT" 87 67
"Townshend, VT" 170 93
"Troy, VT" 113 121
"Tunbridge, VT" 192 105
"Underhill, VT" 691 353
"Vergennes, VT" 346 250
"Vernon, VT" 231 227
"Vershire, VT" 151 69
"Victory, VT" 12 6
"Waitsfield, VT" 494 188
"Walden, VT" 162 80
"Wallingford, VT" 298 262
"Waltham, VT" 99 44
"Wardsboro, VT" 93 45
"Warren, VT" 369 146
"Washington, VT" 145 87
"Waterbury, VT" 912 540
"Waterford, VT" 140 104
"Waterville, VT" 84 47
"Weathersfield, VT" 357 292
"Wells, VT" 139 91
"West Fairlee, VT" 95 68
"Westfield, VT" 64 54
"Westford, VT" 329 211
"West Haven, VT" 14 28
"Westminster, VT" 565 382
"Westmore, VT" 64 29
"Weston, VT" 150 59
"West Rutland, VT" 224 264
"West Windsor, VT" 232 102
"Weybridge, VT" 228 91
"Wheelock, VT" 72 41
"Whiting, VT" 56 51
"Whitingham, VT" 148 94
"Williamstown, VT" 332 235
"Williston, VT" 1514 994
"Wilmington, VT" 312 222
"Windham, VT" 56 38
"Windsor, VT" 502 446
"Winhall, VT" 134 100
"Winooski, VT" 718 577
"Wolcott, VT" 221 94
"Woodbury, VT" 159 84
"Woodford, VT" 45 59
"Woodstock, VT" 715 385
"Worcester, VT" 220 112
"Accomack, VA" 2291 1299
"Albemarle, VA" 11159 5101
"Alexandria, VA" 17208 9269
"Alleghany, VA" 558 1138
"Amelia, VA" 863 394
"Amherst, VA" 1429 1136
"Appomattox, VA" 614 589
"Arlington, VA" 27934 16308
"Augusta, VA" 2544 2213
"Bath, VA" 197 248
"Bedford, VA" 2435 2908
"Bedford City, VA" 293 305
"Bland, VA" 113 320
"Botetourt, VA" 1208 1647
"Bristol, VA" 457 957
"Brunswick, VA" 1915 447
"Buchanan, VA" 226 2243
"Buckingham, VA" 1094 529
"Buena Vista, VA" 198 329
"Campbell, VA" 2005 1661
"Caroline, VA" 2396 952
"Carroll, VA" 491 1452
"Charles City, VA" 1143 249
"Charlotte, VA" 800 465
"Charlottesville, VA" 5724 1870
"Chesapeake, VA" 20780 8047
"Chesterfield, VA" 27208 10706
"Clarke, VA" 1013 742
"Colonial Heights, VA" 535 697
"Covington, VA" 221 316
"Craig, VA" 145 275
"Culpeper, VA" 2181 1624
"Cumberland, VA" 858 300
"Danville, VA" 4138 1137
"Dickenson, VA" 210 1491
"Dinwiddie, VA" 2377 906
"Emporia, VA" 496 148
"Essex, VA" 933 353
"Fairfax, VA" 94591 64297
"Fairfax City, VA" 2007 1466
"Falls Church, VA" 1853 1104
"Fauquier, VA" 4378 2935
"Floyd, VA" 655 635
"Fluvanna, VA" 1747 1045
"Franklin, VA" 2087 2445
"Franklin City, VA" 991 357
"Frederick, VA" 2781 2701
"Fredericksburg, VA" 1797 856
"Galax, VA" 191 336
"Giles, VA" 426 990
"Gloucester, VA" 2198 1572
"Goochland, VA" 2026 900
"Grayson, VA" 347 852
"Greene, VA" 845 657
"Greensville, VA" 1244 309
"Halifax, VA" 2763 988
"Hampton, VA" 20501 5279
"Hanover, VA" 7055 4175
"Harrisonburg, VA" 1918 844
"Henrico, VA" 33834 12510
"Henry, VA" 3125 2040
"Highland, VA" 131 109
"Hopewell, VA" 1437 704
"Isle of Wight, VA" 3310 1329
"James City, VA" 6230 3386
"King and Queen, VA" 664 259
"King George, VA" 1335 725
"King William, VA" 1597 576
"Lancaster, VA" 1243 500
"Lee, VA" 211 1387
"Lexington, VA" 597 271
"Loudoun, VA" 21271 12983
"Louisa, VA" 2093 1248
"Lunenburg, VA" 895 370
"Lynchburg, VA" 4743 2457
"Madison, VA" 871 572
"Manassas, VA" 2011 1482
"Manassas Park, VA" 502 356
"Martinsville, VA" 1248 509
"Mathews, VA" 724 454
"Mecklenburg, VA" 2194 994
"Middlesex, VA" 955 493
"Montgomery, VA" 4768 3775
"Nelson, VA" 1326 845
"New Kent, VA" 1268 739
"Newport News, VA" 18814 6087
"Norfolk, VA" 21555 8236
"Northampton, VA" 1297 508
"Northumberland, VA" 1244 603
"Norton, VA" 85 259
"Nottoway, VA" 1262 464
"Orange, VA" 1817 1455
"Page, VA" 573 853
"Patrick, VA" 522 770
"Petersburg, VA" 5244 914
"Pittsylvania, VA" 3345 1592
"Poquoson, VA" 657 555
"Portsmouth, VA" 13407 3906
"Powhatan, VA" 1532 858
"Prince Edward, VA" 1803 632
"Prince George, VA" 2554 1043
"Prince William, VA" 24771 13783
"Pulaski, VA" 1057 1725
"Radford, VA" 694 514
"Rappahannock, VA" 774 515
"Richmond, VA" 516 264
"Richmond City, VA" 27131 7170
"Roanoke, VA" 4184 5235
"Roanoke City, VA" 6097 4461
"Rockbridge, VA" 1227 1081
"Rockingham, VA" 2633 1948
"Russell, VA" 329 1971
"Salem, VA" 1086 1429
"Scott, VA" 241 1120
"Shenandoah, VA" 1489 1525
"Smyth, VA" 462 1513
"Southampton, VA" 1679 842
"Spotsylvania, VA" 6290 4072
"Stafford, VA" 7180 4156
"Staunton, VA" 1526 949
"Suffolk, VA" 9509 2775
"Surry, VA" 1233 219
"Sussex, VA" 1336 343
"Tazewell, VA" 673 2745
"Virginia Beach, VA" 33544 17446
"Warren, VA" 1358 1684
"Washington, VA" 1263 2920
"Waynesboro, VA" 971 765
"Westmoreland, VA" 1284 768
"Williamsburg, VA" 1452 617
"Winchester, VA" 1460 948
"Wise, VA" 459 2320
"Wythe, VA" 613 1265
"York, VA" 5535 2842
"Adams, WA" 15 13
"Asotin, WA" 45 27
"Benton, WA" 295 190
"Chelan, WA" 178 66
"Clallam, WA" 219 78
"Clark, WA" 1077 550
"Columbia, WA" 15 1
"Cowlitz, WA" 273 184
"Douglas, WA" 65 37
"Ferry, WA" 18 12
"Franklin, WA" 63 59
"Garfield, WA" 1 0
"Grant, WA" 97 78
"Grays Harbor, WA" 174 131
"Island, WA" 268 124
"Jefferson, WA" 179 56
"King, WA" 8165 3116
"Kitsap, WA" 904 370
"Kittitas, WA" 105 50
"Klickitat, WA" 58 28
"Lewis, WA" 154 74
"Lincoln, WA" 30 18
"Mason, WA" 176 101
"Okanogan, WA" 115 25
"Pacific, WA" 70 52
"Pend Oreille, WA" 32 19
"Pierce, WA" 1741 1000
"San Juan, WA" 79 16
"Skagit, WA" 393 154
"Skamania, WA" 39 17
"Snohomish, WA" 1361 691
"Spokane, WA" 1089 646
"Stevens, WA" 107 50
"Thurston, WA" 920 420
"Wahkiakum, WA" 17 10
"Walla Walla, WA" 136 52
"Whatcom, WA" 754 238
"Whitman, WA" 107 27
"Yakima, WA" 329 257
"Adams, WI" 1783 2105
"Ashland, WI" 1800 1583
"Barron, WI" 3970 3397
"Bayfield, WI" 2157 1731
"Brown, WI" 24737 18606
"Buffalo, WI" 1163 1091
"Burnett, WI" 1077 1265
"Calumet, WI" 4648 3460
"Chippewa, WI" 5518 4744
"Clark, WI" 2613 2233
"Columbia, WI" 6064 4618
"Crawford, WI" 1559 1349
"Dane, WI" 95359 44168
"Dodge, WI" 6867 6055
"Door, WI" 4196 2767
"Douglas, WI" 3549 4756
"Dunn, WI" 4129 2716
"Eau Claire, WI" 12950 7044
"Florence, WI" 429 385
"Fond du Lac, WI" 8330 6785
"Forest, WI" 839 1105
"Grant, WI" 4548 3163
"Green, WI" 4321 2898
"Green Lake, WI" 1577 1265
"Iowa, WI" 2891 2126
"Iron, WI" 640 651
"Jackson, WI" 1804 1642
"Jefferson, WI" 8382 6020
"Juneau, WI" 1819 1910
"Kenosha, WI" 15467 14552
"Kewaunee, WI" 2031 1887
"La Crosse, WI" 13068 9189
"Lafayette, WI" 1662 1347
"Langlade, WI" 1913 1879
"Lincoln, WI" 3493 2995
"Manitowoc, WI" 8370 6868
"Marathon, WI" 13363 11090
"Marinette, WI" 3504 3798
"Marquette, WI" 1457 1353
"Menominee, WI" 206 190
"Milwaukee, WI" 132239 72890
"Monroe, WI" 3167 2811
"Oconto, WI" 3459 3528
"Oneida, WI" 4578 3383
"Outagamie, WI" 18359 12317
"Ozaukee, WI" 9816 7608
"Pepin, WI" 629 590
"Pierce, WI" 3076 2583
"Polk, WI" 3232 3503
"Portage, WI" 8993 6707
"Price, WI" 1789 1453
"Racine, WI" 20620 16294
"Richland, WI" 1730 1401
"Rock, WI" 17525 13134
"Rusk, WI" 1370 1274
"Sauk, WI" 6931 4829
"Sawyer, WI" 1468 1195
"Shawano, WI" 3316 2977
"Sheboygan, WI" 10918 9493
"St. Croix, WI" 5468 4899
"Taylor, WI" 1668 1378
"Trempealeau, WI" 2629 2690
"Vernon, WI" 2805 2225
"Vilas, WI" 2732 1991
"Walworth, WI" 9766 6462
"Washburn, WI" 1537 1423
"Washington, WI" 10529 9676
"Waukesha, WI" 37648 34003
"Waupaca, WI" 4575 3344
"Waushara, WI" 1835 1743
"Winnebago, WI" 18265 11878
"Wood, WI" 9082 6327
"Albany, WY" 969 328
"Big Horn, WY" 49 42
"Campbell, WY" 112 68
"Carbon, WY" 103 114
"Converse, WY" 48 71
"Crook, WY" 31 31
"Fremont, WY" 335 235
"Goshen, WY" 96 108
"Hot Springs, WY" 31 22
"Johnson, WY" 61 38
"Laramie, WY" 940 588
"Lincoln, WY" 81 53
"Natrona, WY" 468 461
"Niobrara, WY" 10 10
"Park, WY" 209 124
"Platte, WY" 84 89
"Sheridan, WY" 321 205
"Sublette, WY" 48 27
"Sweetwater, WY" 254 342
"Teton, WY" 919 231
"Uinta, WY" 123 45
"Washakie, WY" 58 40
"Weston, WY" 28 40
